agrupacion_id,eleccion_id,nombre,agrupacioninterna
0532,4,COMPROMISO CIVICO NEUQUINO,
0533,4,FRENTE PROGRESISTA SUR,
0534,4,ALIANZA FRENTE PROGRESISTA,
0155,4,PARTIDO RENOVADOR DE SALTA,
0203,4,SALTA SOMOS TODOS,
0535,4,FRENTE POPULAR SALTEÑO,
0061,4,IZQUIERDA POR UNA OPCION SOCIALISTA,
0324,4,PARTIDO FE,
0514,4,FRENTE PROGRESISTA CIVICO Y SOCIAL,
0540,4,FRENTE POPULAR,
0541,4,FRENTE CIVICO POR SANTIAGO,
0002,4,PARTIDO JUSTICIALISTA,
0158,4,MOVIMIENTO POPULAR FUEGUINO,
0174,4,PARTIDO POPULAR,
0199,4,ESPACIO DEMOCRATICO PARA LA VICTORIA,
0544,4,UNION FEDERAL,
0000,4,"",
0507,4,UNIDOS POR LA LIBERTAD Y EL TRABAJO,
0510,4,FRENTE RENOVADOR,
0513,4,UNION CON FE,
0508,4,FRENTE CIVICO Y SOCIAL,
0509,4,FRENTE TERCERA POSICION (F3P) UNIDAD CATAMARQUEÑA,
0047,4,COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA (ARI),
0191,4,VECINALISMO INDEPENDIENTE,
0217,4,ENCUENTRO VECINAL CORDOBA,
0512,4,UNION POR CORDOBA,
0516,4,CAMBIO POPULAR,
0517,4,ENCUENTRO POR CORRIENTES,
0038,4,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES (MST),
0152,4,MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE,
0157,4,PARTIDO DE ACCION CHUBUTENSE,
0521,4,FRENTE AMPLIO FORMOSEÑO,
0208,4,PARTIDO POR UN PUEBLO UNIDO,
0522,4,FRENTE JUJEÑO,
0523,4,FRENTE UNION PRO,
0524,4,FRENTE PRIMERO JUJUY,
0022,4,PARTIDO HUMANISTA,
0184,4,PUEBLO NUEVO,
0190,4,PARTIDO DE LOS TRABAJADORES SOCIALISTAS,
0525,4,FRENTE PAMPEANO CIVICO Y SOCIAL - FREPAM,
0526,4,FRENTE PROPUESTA FEDERAL,
0504,4,COMPROMISO FEDERAL,
0548,4,FUERZA CIVICA RIOJANA,
0549,4,FRENTE NUEVO PACTO FEDERAL,
0527,4,UNION PD-PRO,
0528,4,FRENTE AMPLIO PROGRESISTA-COALICION CIVICA-ARI,
0050,4,PARTIDO SOCIALISTA,
0529,4,FRENTE RENOVADOR DE LA CONCORDIA,
0531,4,FRENTE UNIDOS,
0054,4,PARTIDO DE LA VICTORIA,
0060,4,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD,
0200,4,MEMORIA Y MOVILIZACION SOCIAL,
0216,4,FRENTE PLURAL,
0156,4,CRUZADA RENOVADORA,
0168,4,PARTIDO DIGNIDAD CIUDADANA,
0537,4,FRENTE DEL PUEBLO,
0150,4,DEMOCRATA INDEPENDIENTE,
0538,4,UNION PARA VIVIR MEJOR,
0539,4,"UNITE! CON FE POR LA CULTURA, EDUCACION Y TRABAJO",
0547,4,UNION PRO SANTA FE FEDERAL,
0064,4,PRO PROPUESTA REPUBLICANA,
